Trial	Day	Infected	Susceptible	Recovered
1	0	10	9990	0
1	1	27	9973	0
1	2	43	9957	0
1	3	72	9928	0
1	4	102	9898	0
1	5	131	9859	10
1	6	156	9817	27
1	7	190	9767	43
1	8	205	9723	72
1	9	224	9674	102
1	10	235	9624	141
1	11	236	9581	183
1	12	235	9532	233
1	13	238	9485	277
1	14	238	9436	326
1	15	241	9383	376
1	16	254	9327	419
1	17	262	9270	468
1	18	277	9208	515
1	19	280	9156	564
1	20	285	9098	617
1	21	278	9049	673
1	22	284	8986	730
1	23	279	8929	792
1	24	279	8877	844
1	25	274	8824	902
1	26	277	8772	951
1	27	268	8718	1014
1	28	255	8674	1071
1	29	253	8624	1123
1	30	250	8574	1176
1	31	236	8536	1228
1	32	224	8494	1282
1	33	218	8456	1326
1	34	213	8411	1376
1	35	216	8358	1426
1	36	227	8309	1464
1	37	231	8263	1506
1	38	253	8203	1544
1	39	275	8136	1589
1	40	265	8093	1642
1	41	255	8054	1691
1	42	259	8004	1737
1	43	254	7949	1797
1	44	233	7903	1864
1	45	245	7848	1907
1	46	264	7790	1946
1	47	274	7730	1996
1	48	266	7683	2051
1	49	265	7638	2097
1	50	259	7589	2152
1	51	252	7538	2210
1	52	241	7489	2270
1	53	262	7421	2317
1	54	282	7356	2362
1	55	274	7315	2411
1	56	268	7270	2462
1	57	274	7215	2511
1	58	250	7171	2579
1	59	236	7120	2644
1	60	256	7059	2685
1	61	266	7004	2730
1	62	262	6953	2785
1	63	269	6902	2829
1	64	265	6855	2880
1	65	247	6812	2941
1	66	241	6763	2996
1	67	225	6728	3047
1	68	219	6683	3098
1	69	217	6638	3145
1	70	227	6585	3188
1	71	216	6547	3237
1	72	225	6503	3272
1	73	227	6456	3317
1	74	234	6404	3362
1	75	231	6354	3415
1	76	239	6308	3453
1	77	241	6262	3497
1	78	248	6208	3544
1	79	251	6153	3596
1	80	255	6099	3646
1	81	255	6053	3692
1	82	256	6006	3738
1	83	242	5966	3792
1	84	241	5912	3847
1	85	236	5863	3901
1	86	239	5814	3947
1	87	239	5767	3994
1	88	246	5720	4034
1	89	242	5670	4088
1	90	238	5625	4137
1	91	251	5563	4186
1	92	259	5508	4233
1	93	270	5450	4280
1	94	265	5405	4330
1	95	273	5352	4375
1	96	259	5304	4437
1	97	256	5252	4492
1	98	243	5207	4550
1	99	250	5155	4595
1	100	247	5105	4648
1	101	256	5048	4696
1	102	252	5000	4748
1	103	262	4945	4793
1	104	255	4900	4845
1	105	246	4859	4895
1	106	235	4813	4952
1	107	228	4772	5000
1	108	213	4732	5055
1	109	223	4677	5100
1	110	234	4625	5141
1	111	236	4577	5187
1	112	254	4518	5228
1	113	262	4470	5268
1	114	270	4407	5323
1	115	263	4362	5375
1	116	264	4313	5423
1	117	259	4259	5482
1	118	257	4213	5530
1	119	240	4167	5593
1	120	238	4124	5638
1	121	235	4078	5687
1	122	229	4030	5741
1	123	229	3984	5787
1	124	230	3937	5833
1	125	231	3893	5876
1	126	224	3854	5922
1	127	222	3808	5970
