Trial	Day	Infected	Susceptible	Recovered
1	0	100	9900	0
1	1	205	9795	0
1	2	374	9626	0
1	3	572	9428	0
1	4	798	9202	0
1	5	995	8909	96
1	6	1180	8615	205
1	7	1329	8297	374
1	8	1490	7938	572
1	9	1600	7602	798
1	10	1670	7239	1091
1	11	1721	6894	1385
1	12	1752	6545	1703
1	13	1752	6186	2062
1	14	1800	5802	2398
1	15	1744	5495	2761
1	16	1725	5169	3106
1	17	1669	4876	3455
1	18	1603	4583	3814
1	19	1464	4338	4198
1	20	1404	4091	4505
1	21	1356	3813	4831
1	22	1302	3574	5124
1	23	1245	3338	5417
1	24	1240	3098	5662
1	25	1240	2851	5909
1	26	1150	2663	6187
1	27	1141	2433	6426
1	28	1132	2206	6662
1	29	1077	2021	6902
1	30	995	1856	7149
1	31	999	1664	7337
1	32	930	1503	7567
1	33	858	1348	7794
1	34	809	1212	7979
1	35	735	1121	8144
1	36	653	1011	8336
1	37	577	926	8497
1	38	494	854	8652
1	39	425	787	8788
1	40	381	740	8879
1	41	320	691	8989
1	42	279	647	9074
1	43	249	605	9146
1	44	204	583	9213
1	45	185	555	9260
1	46	148	543	9309
1	47	124	523	9353
1	48	102	503	9395
1	49	93	490	9417
1	50	78	477	9445
1	51	76	467	9457
1	52	67	456	9477
1	53	53	450	9497
1	54	48	442	9510
1	55	40	437	9523
1	56	32	435	9533
1	57	22	434	9544
1	58	19	431	9550
1	59	11	431	9558
1	60	6	431	9563
1	61	4	431	9565
1	62	3	431	9566
1	63	0	431	9569
2	0	100	9900	0
2	1	205	9795	0
2	2	374	9626	0
2	3	572	9428	0
2	4	798	9202	0
2	5	995	8909	96
2	6	1180	8615	205
2	7	1329	8297	374
2	8	1490	7938	572
2	9	1600	7602	798
2	10	1670	7239	1091
2	11	1721	6894	1385
2	12	1752	6545	1703
2	13	1752	6186	2062
2	14	1800	5802	2398
2	15	1744	5495	2761
2	16	1725	5169	3106
2	17	1669	4876	3455
2	18	1603	4583	3814
2	19	1464	4338	4198
2	20	1404	4091	4505
2	21	1356	3813	4831
2	22	1302	3574	5124
2	23	1245	3338	5417
2	24	1240	3098	5662
2	25	1240	2851	5909
2	26	1150	2663	6187
2	27	1141	2433	6426
2	28	1132	2206	6662
2	29	1077	2021	6902
2	30	995	1856	7149
2	31	999	1664	7337
2	32	930	1503	7567
2	33	858	1348	7794
