Trial	Day	Infected	Susceptible	Recovered	Vaccinated
1	0	100	9900	0	0
1	1	222	9778	0	22
1	2	413	9587	0	44
1	3	642	9358	0	63
1	4	922	9078	0	69
1	5	1136	8764	100	77
1	6	1376	8402	222	92
1	7	1571	8016	413	100
1	8	1781	7577	642	126
1	9	1940	7138	922	127
1	10	2044	6720	1236	127
1	11	2146	6256	1598	130
1	12	2177	5839	1984	137
1	13	2176	5401	2423	144
1	14	2136	5002	2862	150
1	15	2093	4627	3280	152
1	16	2000	4256	3744	153
1	17	1953	3886	4161	155
1	18	1843	3558	4599	163
1	19	1772	3230	4998	165
1	20	1698	2929	5373	167
1	21	1596	2660	5744	169
1	22	1469	2417	6114	171
1	23	1384	2174	6442	173
1	24	1265	1965	6770	175
1	25	1160	1769	7071	176
1	26	1026	1634	7340	178
1	27	939	1478	7583	178
1	28	837	1337	7826	178
1	29	754	1211	8035	178
1	30	662	1107	8231	179
1	31	623	1011	8366	180
1	32	563	915	8522	182
1	33	494	843	8663	182
1	34	426	785	8789	183
1	35	376	731	8893	184
1	36	326	685	8989	184
1	37	263	652	9085	184
1	38	212	631	9157	185
1	39	168	617	9215	185
1	40	123	608	9269	185
1	41	81	604	9315	185
1	42	57	595	9348	185
1	43	40	591	9369	185
1	44	27	590	9383	185
1	45	18	590	9392	185
1	46	14	590	9396	185
1	47	6	589	9405	185
1	48	3	588	9409	185
1	49	2	588	9410	185
1	50	2	588	9410	185
1	51	3	587	9410	185
1	52	3	586	9411	185
1	53	2	586	9412	185
1	54	2	586	9412	185
1	55	2	586	9412	185
1	56	1	586	9413	185
1	57	0	586	9414	185
2	0	100	9900	0	0
2	1	222	9778	0	22
2	2	413	9587	0	44
2	3	642	9358	0	63
2	4	922	9078	0	69
2	5	1136	8764	100	77
2	6	1376	8402	222	92
2	7	1571	8016	413	100
2	8	1781	7577	642	126
2	9	1940	7138	922	127
2	10	2044	6720	1236	127
2	11	2146	6256	1598	130
2	12	2177	5839	1984	137
2	13	2176	5401	2423	144
2	14	2136	5002	2862	150
2	15	2093	4627	3280	152
2	16	2000	4256	3744	153
2	17	1953	3886	4161	155
2	18	1843	3558	4599	163
2	19	1772	3230	4998	165
2	20	1698	2929	5373	167
2	21	1596	2660	5744	169
2	22	1469	2417	6114	171
2	23	1384	2174	6442	173
