Trial	Day	Infected	Susceptible	Recovered	Vaccinated
1	0	100	9900	0	0
1	1	194	9806	0	96
1	2	368	9632	0	194
1	3	549	9451	0	262
1	4	801	9199	0	410
1	5	970	8930	100	457
1	6	1179	8627	194	517
1	7	1347	8285	368	572
1	8	1512	7939	549	679
1	9	1636	7563	801	714
1	10	1730	7200	1070	765
1	11	1759	6868	1373	818
1	12	1745	6540	1715	874
1	13	1721	6218	2061	914
1	14	1676	5887	2437	976
1	15	1630	5570	2800	1036
1	16	1595	5273	3132	1088
1	17	1533	5007	3460	1134
1	18	1465	4753	3782	1178
1	19	1356	4531	4113	1211
1	20	1249	4321	4430	1238
1	21	1133	4140	4727	1264
1	22	1033	3974	4993	1283
1	23	922	3831	5247	1302
1	24	833	3698	5469	1319
1	25	747	3574	5679	1335
1	26	667	3473	5860	1349
1	27	605	3369	6026	1368
1	28	554	3277	6169	1384
1	29	509	3189	6302	1405
1	30	469	3105	6426	1424
1	31	439	3034	6527	1439
1	32	405	2964	6631	1458
1	33	385	2892	6723	1480
1	34	355	2834	6811	1494
1	35	309	2796	6895	1504
1	36	278	2756	6966	1519
1	37	239	2725	7036	1528
1	38	195	2697	7108	1539
1	39	165	2669	7166	1545
1	40	152	2644	7204	1550
1	41	141	2615	7244	1557
1	42	131	2594	7275	1561
1	43	124	2573	7303	1570
1	44	122	2547	7331	1575
1	45	117	2527	7356	1579
1	46	108	2507	7385	1586
1	47	104	2490	7406	1591
1	48	99	2474	7427	1598
1	49	95	2452	7453	1605
1	50	86	2441	7473	1614
1	51	81	2426	7493	1617
1	52	73	2417	7510	1626
1	53	65	2409	7526	1635
1	54	53	2399	7548	1642
1	55	51	2390	7559	1647
1	56	43	2383	7574	1650
1	57	35	2382	7583	1654
1	58	33	2376	7591	1658
1	59	28	2371	7601	1661
1	60	23	2367	7610	1666
1	61	19	2364	7617	1670
1	62	20	2362	7618	1683
1	63	17	2359	7624	1687
1	64	12	2359	7629	1689
1	65	11	2356	7633	1695
1	66	8	2356	7636	1697
1	67	7	2355	7638	1701
1	68	5	2354	7641	1705
1	69	6	2353	7641	1712
1	70	3	2353	7644	1717
1	71	3	2353	7644	1722
1	72	2	2353	7645	1724
1	73	1	2353	7646	1727
1	74	0	2353	7647	1732
2	0	100	9900	0	0
2	1	194	9806	0	96
2	2	368	9632	0	194
2	3	549	9451	0	262
2	4	801	9199	0	410
2	5	970	8930	100	457
2	6	1179	8627	194	517
2	7	1347	8285	368	572
2	8	1512	7939	549	679
2	9	1636	7563	801	714
2	10	1730	7200	1070	765
2	11	1759	6868	1373	818
2	12	1745	6540	1715	874
2	13	1721	6218	2061	914
2	14	1676	5887	2437	976
2	15	1630	5570	2800	1036
2	16	1595	5273	3132	1088
2	17	1533	5007	3460	1134
2	18	1465	4753	3782	1178
2	19	1356	4531	4113	1211
2	20	1249	4321	4430	1238
2	21	1133	4140	4727	1264
2	22	1033	3974	4993	1283
2	23	922	3831	5247	1302
2	24	833	3698	5469	1319
2	25	747	3574	5679	1335
2	26	667	3473	5860	1349
2	27	605	3369	6026	1368
2	28	554	3277	6169	1384
2	29	509	3189	6302	1405
2	30	469	3105	6426	1424
2	31	439	3034	6527	1439
2	32	405	2964	6631	1458
2	33	385	2892	6723	1480
2	34	355	2834	6811	1494
2	35	309	2796	6895	1504
2	36	278	2756	6966	1519
2	37	239	2725	7036	1528
2	38	195	2697	7108	1539
2	39	165	2669	7166	1545
2	40	152	2644	7204	1550
2	41	141	2615	7244	1557
2	42	131	2594	7275	1561
2	43	124	2573	7303	1570
2	44	122	2547	7331	1575
2	45	117	2527	7356	1579
2	46	108	2507	7385	1586
2	47	104	2490	7406	1591
2	48	99	2474	7427	1598
2	49	95	2452	7453	1605
2	50	86	2441	7473	1614
2	51	81	2426	7493	1617
2	52	73	2417	7510	1626
2	53	65	2409	7526	1635
2	54	53	2399	7548	1642
2	55	51	2390	7559	1647
2	56	43	2383	7574	1650
2	57	35	2382	7583	1654
2	58	33	2376	7591	1658
2	59	28	2371	7601	1661
