Trial	Day	Infected	Vaccinated	VaxProb
1	0	1200	8800	0	0
1	1	1866	8134	0	0
1	2	2499	7501	0	0
1	3	3216	6784	0	0
1	4	3864	6136	0	0
1	5	3358	5460	1182	0
1	6	3223	4911	1866	0
1	7	3117	4384	2499	0
1	8	2908	3876	3216	0
1	9	2653	3483	3864	0
1	10	2351	3109	4540	0
1	11	2141	2770	5089	0
1	12	1922	2462	5616	0
1	13	1681	2195	6124	0
1	14	1518	1965	6517	0
1	15	1323	1786	6891	0
1	16	1129	1641	7230	0
1	17	939	1523	7538	0
1	18	782	1413	7805	0
1	19	647	1318	8035	0
1	20	535	1251	8214	0
1	21	439	1202	8359	0
1	22	370	1153	8477	0
1	23	292	1121	8587	0
1	24	234	1084	8682	0
1	25	188	1063	8749	0
1	26	155	1047	8798	0
1	27	124	1029	8847	0
1	28	98	1023	8879	0
1	29	66	1018	8916	0
1	30	50	1013	8937	0
1	31	37	1010	8953	0
1	32	20	1009	8971	0
1	33	14	1009	8977	0
1	34	10	1008	8982	0
1	35	5	1008	8987	0
1	36	2	1008	8990	0
1	37	1	1008	8991	0
1	38	2	1007	8991	0
1	39	1	1007	8992	0
1	40	1	1007	8992	0
1	41	1	1007	8992	0
1	42	1	1007	8992	0
1	43	0	1007	8993	0
2	0	1200	8800	0	0
2	1	1866	8134	0	0
2	2	2499	7501	0	0
2	3	3216	6784	0	0
2	4	3864	6136	0	0
2	5	3358	5460	1182	0
2	6	3223	4911	1866	0
2	7	3117	4384	2499	0
2	8	2908	3876	3216	0
2	9	2653	3483	3864	0
2	10	2351	3109	4540	0
2	11	2141	2770	5089	0
2	12	1922	2462	5616	0
2	13	1681	2195	6124	0
2	14	1518	1965	6517	0
2	15	1323	1786	6891	0
2	16	1129	1641	7230	0
2	17	939	1523	7538	0
2	18	782	1413	7805	0
2	19	647	1318	8035	0
2	20	535	1251	8214	0
2	21	439	1202	8359	0
2	22	370	1153	8477	0
2	23	292	1121	8587	0
2	24	234	1084	8682	0
2	25	188	1063	8749	0
2	26	155	1047	8798	0
2	27	124	1029	8847	0
2	28	98	1023	8879	0
2	29	66	1018	8916	0
2	30	50	1013	8937	0
2	31	37	1010	8953	0
2	32	20	1009	8971	0
2	33	14	1009	8977	0
2	34	10	1008	8982	0
2	35	5	1008	8987	0
2	36	2	1008	8990	0
2	37	1	1008	8991	0
2	38	2	1007	8991	0
2	39	1	1007	8992	0
2	40	1	1007	8992	0
2	41	1	1007	8992	0
2	42	1	1007	8992	0
2	43	0	1007	8993	0
3	0	1200	8800	0	0
