Trial	Day	Infected	Vaccinated
1	0	1200	0
1	1	2138	1573
1	2	3046	2586
1	3	3810	3299
1	4	4310	3759
1	5	3512	4065
1	6	2711	4227
1	7	1911	4360
1	8	1197	4456
1	9	728	4499
1	10	373	4556
1	11	199	4603
1	12	93	4634
1	13	45	4663
1	14	14	4679
1	15	9	4693
1	16	4	4704
1	17	2	4714
1	18	0	4718
2	0	1200	0
2	1	2235	1448
2	2	3206	2602
2	3	3921	3262
2	4	4404	3717
2	5	3566	3999
2	6	2683	4202
2	7	1817	4315
2	8	1152	4393
2	9	684	4441
2	10	368	4494
2	11	194	4537
2	12	91	4571
2	13	42	4586
2	14	27	4606
2	15	14	4619
2	16	4	4629
2	17	2	4640
2	18	1	4645
2	19	1	4651
2	20	0	4657
3	0	1200	0
3	1	2235	1448
3	2	3206	2602
3	3	3921	3262
3	4	4404	3717
3	5	3566	3999
3	6	2683	4202
3	7	1817	4315
3	8	1152	4393
3	9	684	4441
3	10	368	4494
3	11	194	4537
3	12	91	4571
3	13	42	4586
3	14	27	4606
3	15	14	4619
3	16	4	4629
3	17	2	4640
3	18	1	4645
3	19	1	4651
3	20	0	4657
4	0	1200	0
4	1	2235	1448
4	2	3206	2602
4	3	3921	3262
4	4	4404	3717
4	5	3566	3999
4	6	2683	4202
4	7	1817	4315
4	8	1152	4393
4	9	684	4441
4	10	368	4494
4	11	194	4537
4	12	91	4571
4	13	42	4586
4	14	27	4606
4	15	14	4619
4	16	4	4629
4	17	2	4640
4	18	1	4645
4	19	1	4651
4	20	0	4657
5	0	1200	0
5	1	2235	1448
5	2	3206	2602
5	3	3921	3262
5	4	4404	3717
5	5	3566	3999
5	6	2683	4202
5	7	1817	4315
5	8	1152	4393
5	9	684	4441
5	10	368	4494
5	11	194	4537
5	12	91	4571
5	13	42	4586
5	14	27	4606
5	15	14	4619
5	16	4	4629
5	17	2	4640
5	18	1	4645
5	19	1	4651
5	20	0	4657
6	0	1200	0
6	1	2235	1448
6	2	3206	2602
6	3	3921	3262
6	4	4404	3717
6	5	3566	3999
6	6	2683	4202
6	7	1817	4315
6	8	1152	4393
6	9	684	4441
6	10	368	4494
6	11	194	4537
6	12	91	4571
6	13	42	4586
6	14	27	4606
6	15	14	4619
6	16	4	4629
6	17	2	4640
6	18	1	4645
6	19	1	4651
6	20	0	4657
7	0	1200	0
7	1	2235	1448
7	2	3206	2602
7	3	3921	3262
7	4	4404	3717
7	5	3566	3999
7	6	2683	4202
7	7	1817	4315
7	8	1152	4393
7	9	684	4441
7	10	368	4494
7	11	194	4537
7	12	91	4571
7	13	42	4586
7	14	27	4606
7	15	14	4619
7	16	4	4629
7	17	2	4640
7	18	1	4645
7	19	1	4651
7	20	0	4657
8	0	1200	0
8	1	2271	1706
8	2	3099	2742
8	3	3712	3424
8	4	4157	3884
8	5	3234	4156
8	6	2321	4374
8	7	1575	4504
8	8	1021	4628
8	9	600	4722
8	10	356	4792
8	11	179	4849
8	12	99	4889
8	13	42	4914
8	14	19	4944
8	15	8	4961
8	16	5	4978
8	17	3	4987
8	18	1	4994
8	19	0	5003
9	0	1200	0
9	1	2271	1706
9	2	3099	2742
9	3	3712	3424
9	4	4157	3884
9	5	3234	4156
9	6	2321	4374
9	7	1575	4504
9	8	1021	4628
9	9	600	4722
9	10	356	4792
9	11	179	4849
9	12	99	4889
9	13	42	4914
9	14	19	4944
9	15	8	4961
9	16	5	4978
9	17	3	4987
9	18	1	4994
9	19	0	5003
10	0	1200	0
10	1	2271	1706
10	2	3099	2742
10	3	3712	3424
10	4	4157	3884
10	5	3234	4156
10	6	2321	4374
10	7	1575	4504
10	8	1021	4628
10	9	600	4722
10	10	356	4792
10	11	179	4849
10	12	99	4889
10	13	42	4914
10	14	19	4944
10	15	8	4961
10	16	5	4978
10	17	3	4987
10	18	1	4994
10	19	0	5003
11	0	1200	0
11	1	2271	1706
11	2	3099	2742
11	3	3712	3424
11	4	4157	3884
11	5	3234	4156
11	6	2321	4374
11	7	1575	4504
11	8	1021	4628
11	9	600	4722
11	10	356	4792
11	11	179	4849
11	12	99	4889
11	13	42	4914
11	14	19	4944
11	15	8	4961
11	16	5	4978
11	17	3	4987
11	18	1	4994
11	19	0	5003
12	0	1200	0
12	1	2271	1706
12	2	3099	2742
12	3	3712	3424
12	4	4157	3884
12	5	3234	4156
12	6	2321	4374
12	7	1575	4504
12	8	1021	4628
12	9	600	4722
12	10	356	4792
12	11	179	4849
12	12	99	4889
12	13	42	4914
12	14	19	4944
12	15	8	4961
12	16	5	4978
12	17	3	4987
12	18	1	4994
12	19	0	5003
13	0	1200	0
13	1	2103	1386
13	2	3013	2474
13	3	3782	3210
13	4	4247	3701
13	5	3405	3990
13	6	2644	4231
13	7	1826	4362
